dataset,log_file,final_mean_acc,n_tasks,per_task_accs,log_path
split_cifar_loss_diff,cifar_loss_diff_25076368.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_loss_diff_25076368.out
split_cifar_prv_loss_diff,cifar_prv_loss_diff_25076370.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_loss_diff_25076370.out
split_cifar_prv_qvendi,cifar_prv_qvendi_25079842.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_25079842.out
split_cifar_prv_qvendi_q0.1,cifar_prv_qvendi_q_sweep_25111408_0.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_0.out
split_cifar_prv_qvendi_q0.5,cifar_prv_qvendi_q_sweep_25111408_1.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_1.out
split_cifar_prv_qvendi_q1.0,cifar_prv_qvendi_q_sweep_25111408_2.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_2.out
split_cifar_prv_qvendi_q2.0,cifar_prv_qvendi_q_sweep_25111408_3.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_3.out
split_cifar_prv_qvendi_q10.0,cifar_prv_qvendi_q_sweep_25111408_4.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_4.out
split_cifar_prv_qvendi_qinf,cifar_prv_qvendi_q_sweep_25111408_5.out,40.99,5,"30.80,16.65,31.50,52.45,73.55",../logs/cifar_prv_qvendi_q_sweep_25111408_5.out
split_cifar_qvendi,cifar_qvendi_25079843.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_25079843.out
split_cifar_qvendi_q0.1,cifar_qvendi_q_sweep_25111407_0.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_0.out
split_cifar_qvendi_q0.5,cifar_qvendi_q_sweep_25111407_1.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_1.out
split_cifar_qvendi_q1.0,cifar_qvendi_q_sweep_25111407_2.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_2.out
split_cifar_qvendi_q2.0,cifar_qvendi_q_sweep_25111407_3.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_3.out
split_cifar_qvendi_q10.0,cifar_qvendi_q_sweep_25111407_4.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_4.out
split_cifar_qvendi_qinf,cifar_qvendi_q_sweep_25111407_5.out,41.74,5,"43.90,12.75,24.70,70.00,57.35",../logs/cifar_qvendi_q_sweep_25111407_5.out
split_mnist_loss_diff,mnist_loss_diff_25076372.out,96.22,5,"98.39,92.65,94.98,98.14,96.92",../logs/mnist_loss_diff_25076372.out
split_mnist_prv_loss_diff,mnist_prv_loss_diff_25076374.out,94.84,5,"98.49,89.81,94.24,94.06,97.58",../logs/mnist_prv_loss_diff_25076374.out
split_mnist_prv_qvendi,mnist_prv_qvendi_25077208.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_25077208.out
split_mnist_prv_qvendi_q0.1,mnist_prv_qvendi_q_sweep_25111410_0.out,94.84,5,"98.49,89.81,94.24,94.06,97.58",../logs/mnist_prv_qvendi_q_sweep_25111410_0.out
split_mnist_prv_qvendi_q0.5,mnist_prv_qvendi_q_sweep_25111410_1.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_q_sweep_25111410_1.out
split_mnist_prv_qvendi_q1.0,mnist_prv_qvendi_q_sweep_25111410_2.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_q_sweep_25111410_2.out
split_mnist_prv_qvendi_q2.0,mnist_prv_qvendi_q_sweep_25111410_3.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_q_sweep_25111410_3.out
split_mnist_prv_qvendi_q10.0,mnist_prv_qvendi_q_sweep_25111410_4.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_q_sweep_25111410_4.out
split_mnist_prv_qvendi_qinf,mnist_prv_qvendi_q_sweep_25111410_5.out,95.79,5,"97.54,94.76,94.08,95.67,96.92",../logs/mnist_prv_qvendi_q_sweep_25111410_5.out
split_mnist_qvendi,mnist_qvendi_25077207.out,95.24,5,"96.36,92.07,93.22,96.68,97.88",../logs/mnist_qvendi_25077207.out
split_mnist_qvendi_q0.1,mnist_qvendi_q_sweep_25111409_0.out,95.24,5,"96.36,92.07,93.22,96.68,97.88",../logs/mnist_qvendi_q_sweep_25111409_0.out
split_mnist_qvendi_q0.5,mnist_qvendi_q_sweep_25111409_1.out,95.24,5,"96.36,92.07,93.22,96.68,97.88",../logs/mnist_qvendi_q_sweep_25111409_1.out
split_mnist_qvendi_q1.0,mnist_qvendi_q_sweep_25111409_2.out,95.24,5,"96.36,92.07,93.22,96.68,97.88",../logs/mnist_qvendi_q_sweep_25111409_2.out
split_mnist_qvendi_q2.0,mnist_qvendi_q_sweep_25111409_3.out,96.22,5,"98.39,92.65,94.98,98.14,96.92",../logs/mnist_qvendi_q_sweep_25111409_3.out
split_mnist_qvendi_q10.0,mnist_qvendi_q_sweep_25111409_4.out,96.22,5,"98.39,92.65,94.98,98.14,96.92",../logs/mnist_qvendi_q_sweep_25111409_4.out
split_mnist_qvendi_qinf,mnist_qvendi_q_sweep_25111409_5.out,96.22,5,"98.39,92.65,94.98,98.14,96.92",../logs/mnist_qvendi_q_sweep_25111409_5.out
