dataset_root,test,metric,std,n_files,buffer_path,mode
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_loss_diff,test1,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_loss_diff/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_loss_diff,test1,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_loss_diff/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi,test1,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q0.1,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q0.1/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q0.5,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q0.5/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q1.0,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q1.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q10.0,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q10.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q2.0,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_q2.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_qinf,seed0,0.976147,0.202602,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_prv_qvendi_qinf/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi,test1,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q0.1,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q0.1/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q0.5,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q0.5/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q1.0,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q1.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q10.0,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q10.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q2.0,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_q2.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_qinf,seed0,0.659683,0.049748,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_cifar_qvendi_qinf/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_loss_diff,test1,0.236148,0.069612,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_loss_diff/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_loss_diff,test1,0.293513,0.083133,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_loss_diff/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi,test1,0.292171,0.081448,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi/test1/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q0.1,seed0,0.293513,0.083133,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q0.1/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q0.5,seed0,0.292171,0.081448,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q0.5/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q1.0,seed0,0.292171,0.081448,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q1.0/seed0/buffer,mean
/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q10.0,seed0,0.292171,0.081448,5,/n/fs/vsrel/VSReL-Coreset-CL/results/split_mnist_prv_qvendi_q10.0/seed0/buffer,mean
